ா	a
ஏற்கனவே	eːrkanaʋeː
ஏற்படக்	eːrpaʈak
ஏற்பாடு	eːrpaːʈu
ஏற்றுக்	eːrruk
எழுந்து	eɻun̪t̪u
எடுத்து	eʈut̪t̪u
எண்ணூர்	eɳɳuːɾ
ஏர்வேஸ்	eːɾʋeːs
ஹரிஜனம்	h ɐ ɾ i d͡ʑ ɐ n ɐ m
ஹர்தீப்	haɾt̪iːp
ஹோட்டல்	hoːʈʈal
இபுதார்	i b u d̪ aː ɾ
இபங்கம்	i b ɐ ŋ ɡ ɐ m
இயக்கம்	i j ɐ kː ɐ m
இல்லாள்	i l l aː ɭ
இல்லறம்	i l l ɐ r ɐ m
இல்லகம்	i l l ɐ ɡ ɐ m
இலக்கிய	i l ɐ kː i j ɐ
இலக்கம்	i l ɐ kː ɐ m
இலட்சம்	i l ɐ ʈ t͡ɕ ɐ m
இலண்டன்	i l ɐ ɳ ɖ ɐ n
இனிப்பு	i n i pː u
இந்தியா	i n̪ d̪ i j aː
இன்னும்	i nː u m
இன்னணம்	i nː ɐ ɳ ɐ m
இப்போது	i pː oː d̪ u
இறைச்சி	i r a ɪ̯ t͡ɕː i
இறுக்கு	i r u kː u
இத்ரீஸ்	i t̪ ɾ iː s
இத்தால்	i t̪ː aː l
இசுபேடு	i t͡ɕ u b eː ɖ u
இசுலாம்	i t͡ɕ u l aː m
இச்சகம்	i t͡ɕː ɐ ɡ ɐ m
இடையிடு	i ɖ a ɪ̯ j i ɖ u
இடையீடு	i ɖ a ɪ̯ j iː ɖ u
இடையூறு	i ɖ a ɪ̯ j uː r u
இரைப்பை	i ɾ a ɪ̯ pː a ɪ̯
இளைப்பு	i ɭ a ɪ̯ pː u
இராஜாளி	i ɾ aː d͡ʑ aː ɭ i
இராகவன்	i ɾ aː ɡ ɐ ʋ ɐ n
இஞ்சீல்	i ɲ d͡ʑ iː l
இழிதகவு	i ɻ i d̪ ɐ ɡ ɐ ʋ u
இழிப்பு	i ɻ i pː u
இருதயம்	i ɾ u d̪ ɐ j ɐ m
இருக்கை	i ɾ u kː a ɪ̯
இடுக்கி	i ɖ u kː i
இழுக்கு	i ɻ u kː u
இகுலாசு	i ɡ u l aː t͡ɕ u
இரும்பு	i ɾ u m b u
இருந்து	i ɾ u n̪ d̪ u
இருநூறு	i ɾ u n̪ uː r u
இருப்பை	i ɾ u pː a ɪ̯
இடுப்பு	i ɖ u pː u
இருப்பு	i ɾ u pː u
இருப்பன	i ɾ u pː ɐ n ɐ
இகுவான்	i ɡ u ʋ aː n
இருளுவா	i ɾ u ɭ u ʋ aː
இருட்டு	i ɾ u ʈː u
இணக்கம்	i ɳ ɐ kː ɐ m
இரக்கம்	i ɾ ɐ kː ɐ m
இடக்கர்	i ɖ ɐ kː ɐ ɾ
இளநீலம்	i ɭ ɐ n̪ iː l ɐ m
இரசிதம்	i ɾ ɐ t͡ɕ i d̪ ɐ m
இரத்தம்	i ɾ ɐ t̪ː ɐ m
இரணியம்	i ɾ ɐ ɳ i j ɐ m
இடங்கர்	i ɖ ɐ ŋ ɡ ɐ ɾ
இவர்கள்	i ʋ ɐ ɾ ɡ ɐ ɭ
இட்டிடை	i ʈː i ɖ a ɪ̯
இங்ஙனம்	i ŋː ɐ n ɐ m
இயக்கம்	ijakkam
இயற்றப்	ijarrap
இலக்கிய	ilakkija
இன்னும்	innum
இந்தியா	in̪t̪ijaː
இப்போது	ippoːt̪u
இறுதிப்	irut̪ip
இதன்படி	it̪anpaʈi
இதற்காக	it̪arkaːka
இதற்கான	it̪arkaːna
இதேபோல்	it̪eːpoːl
இதுபோல்	it̪upoːl
இதுதவிர	it̪ut̪aʋiɾa
ஈற்றயல்	iː rː ɐ j ɐ l
ஈசுவரன்	iː t͡ɕ u ʋ ɐ ɾ ɐ n
ஈர்ப்பு	iː ɾ pː u
இழைத்த்	iɻajt̪t̪
இடம்பெற	iʈampera
இரண்டரை	iɾaɳʈaɾaj
இருந்தன	iɾun̪t̪ana
இருந்து	iɾun̪t̪u
இவ்வாறு	iʋʋaːru
ஈடுபட்ட	iːʈupaʈʈa
யாகுவம்	j aː ɡ u ʋ ɐ m
யாவரும்	j aː ʋ ɐ ɾ u m
யாங்கண்	j aː ŋ ɡ ɐ ɳ
யுத்தம்	j u t̪ː ɐ m
யாருடைய	jaːɾuʈajja
களிகூறு	k a ɭ i k uː r u
காய்கறி	k aː j ɡ ɐ r i
கால்நடை	k aː l n̪ ɐ ɖ a ɪ̯
காமமரம்	k aː m ɐ m ɐ ɾ ɐ m
காந்தம்	k aː n̪ d̪ ɐ m
காராமணி	k aː ɾ aː m ɐ ɳ i
காகிதம்	k aː ɡ i d̪ ɐ m
காரியம்	k aː ɾ i j ɐ m
கார்மம்	k aː ɾ m ɐ m
காளவாய்	k aː ɭ ɐ ʋ aː j
காண்டம்	k aː ɳ ɖ ɐ m
காட்டசை	k aː ʈː ɐ t͡ɕ a ɪ̯
கெட்டம்	k e ʈː ɐ m
கியானம்	k i j aː n ɐ m
கியாழம்	k i j aː ɻ ɐ m
கின்னம்	k i nː ɐ m
கிஸ்மத்	k i s m ɐ t̪
கிராமம்	k i ɾ aː m ɐ m
கிரீடம்	k i ɾ iː ɖ ɐ m
கிடக்கை	k i ɖ ɐ kː a ɪ̯
கிழக்கு	k i ɻ ɐ kː u
கிளம்பு	k i ɭ ɐ m b u
கிடப்பு	k i ɖ ɐ pː u
கிளப்பு	k i ɭ ɐ pː u
கிடங்கு	k i ɖ ɐ ŋ ɡ u
கிழங்கு	k i ɻ ɐ ŋ ɡ u
கிரககதி	k i ɾ ɐ ɡ ɐ ɡ ɐ d̪ i
கிண்ணம்	k i ɳː ɐ m
கொல்லம்	k o l l ɐ m
கொல்லன்	k o l l ɐ n
கொல்லறு	k o l l ɐ r u
கொந்தர்	k o n̪ d̪ ɐ ɾ
கொந்தளி	k o n̪ d̪ ɐ ɭ i
கொற்றம்	k o rː ɐ m
கொற்றவை	k o rː ɐ ʋ a ɪ̯
கொஞ்சம்	k o ɲ d͡ʑ ɐ m
கொடூரம்	k o ɖ uː ɾ ɐ m
கொண்டல்	k o ɳ ɖ ɐ l
கொள்வனை	k o ɭ ʋ ɐ n a ɪ̯
கொட்டகை	k o ʈː ɐ ɡ a ɪ̯
கோபாலன்	k oː b aː l ɐ n
கோபுரம்	k oː b u ɾ ɐ m
கோதாவரி	k oː d̪ aː ʋ ɐ ɾ i
கோமுகம்	k oː m u ɡ ɐ m
கோழிகள்	k oː ɻ i ɡ ɐ ɭ
கோவசூரி	k oː ʋ ɐ t͡ɕ uː ɾ i
கோணங்கி	k oː ɳ ɐ ŋ ɡ i
கோட்டம்	k oː ʈː ɐ m
குபேரன்	k u b eː ɾ ɐ n
குலிகம்	k u l i ɡ ɐ m
குமாரன்	k u m aː ɾ ɐ n
கும்பம்	k u m b ɐ m
குன்றம்	k u n r ɐ m
குந்தம்	k u n̪ d̪ ɐ m
குப்பம்	k u pː ɐ m
குறைபடு	k u r a ɪ̯ b ɐ ɖ u
குறுகிய	k u r u ɡ i j ɐ
குறங்கு	k u r ɐ ŋ ɡ u
குறட்டை	k u r ɐ ʈː a ɪ̯
குற்றம்	k u rː ɐ m
குத்தகை	k u t̪ː ɐ ɡ a ɪ̯
குசராத்	k u t͡ɕ ɐ ɾ aː t̪
குளியல்	k u ɭ i j ɐ l
குவியல்	k u ʋ i j ɐ l
குவியம்	k u ʋ i j ɐ m
குழுவல்	k u ɻ u ʋ ɐ l
குருடன்	k u ɾ u ɖ ɐ n
குளம்பி	k u ɭ ɐ m b i
குழம்பு	k u ɻ ɐ m b u
குழந்தை	k u ɻ ɐ n̪ d̪ a ɪ̯
குண்டம்	k u ɳ ɖ ɐ m
குரங்கு	k u ɾ ɐ ŋ ɡ u
குள்ளம்	k u ɭː ɐ m
கூம்பல்	k uː m b ɐ l
கூத்தாட	k uː t̪ː aː ɖ ɐ
கூத்தன்	k uː t̪ː ɐ n
கூடாரம்	k uː ɖ aː ɾ ɐ m
கூர்மம்	k uː ɾ m ɐ m
கூட்டல்	k uː ʈː ɐ l
கூட்டம்	k uː ʈː ɐ m
கூட்டர்	k uː ʈː ɐ ɾ
கபோதகம்	k ɐ b oː d̪ ɐ ɡ ɐ m
கதிப்பு	k ɐ d̪ i pː u
கதிரோன்	k ɐ d̪ i ɾ oː n
கதிரவன்	k ɐ d̪ i ɾ ɐ ʋ ɐ n
க்ஷேமம்	k ʂ eː m ɐ m
க்ஷீணம்	k ʂ iː ɳ ɐ m
கயிரவம்	k ɐ j i ɾ ɐ ʋ ɐ m
கல்லேறு	k ɐ l l eː r u
கல்லூரி	k ɐ l l uː ɾ i
கலங்கரை	k ɐ l ɐ ŋ ɡ ɐ ɾ a ɪ̯
கம்பளம்	k ɐ m b ɐ ɭ ɐ m
கந்தகம்	k ɐ n̪ d̪ ɐ ɡ ɐ m
கந்தரம்	k ɐ n̪ d̪ ɐ ɾ ɐ m
கன்னடம்	k ɐ nː ɐ ɖ ɐ m
கறிக்கு	k ɐ r i kː u
கற்குளி	k ɐ r k u ɭ i
கற்பாழி	k ɐ r p aː ɻ i
கறுப்பு	k ɐ r u pː u
கற்றாலை	k ɐ rː aː l a ɪ̯
கற்றார்	k ɐ rː aː ɾ
கற்றாழை	k ɐ rː aː ɻ a ɪ̯
கத்திரி	k ɐ t̪ː i ɾ i
கச்சேரி	k ɐ t͡ɕː eː ɾ i
கணையாழி	k ɐ ɳ a ɪ̯ j aː ɻ i
கரைப்பு	k ɐ ɾ a ɪ̯ pː u
களைப்பு	k ɐ ɭ a ɪ̯ pː u
கஞ்சாவை	k ɐ ɲ d͡ʑ aː ʋ a ɪ̯
கடிக்கை	k ɐ ɖ i kː a ɪ̯
களிப்பு	k ɐ ɭ i pː u
கண்மாய்	k ɐ ɳ m aː j
கடுதாசி	k ɐ ɖ u d̪ aː t͡ɕ i
கவுதாரி	k ɐ ʋ u d̪ aː ɾ i
கருக்கு	k ɐ ɾ u kː u
கரும்பு	k ɐ ɾ u m b u
கருநாரை	k ɐ ɾ u n̪ aː ɾ a ɪ̯
கருப்பை	k ɐ ɾ u pː a ɪ̯
கருப்பு	k ɐ ɾ u pː u
கழுத்து	k ɐ ɻ u t̪ː u
கருவாடு	k ɐ ɾ u ʋ aː ɖ u
கருவிழி	k ɐ ɾ u ʋ i ɻ i
கண்காணி	k ɐ ɳ ɡ aː ɳ i
கண்டெடு	k ɐ ɳ ɖ e ɖ u
கண்விழி	k ɐ ɳ ʋ i ɻ i
களிகூறு	k ə ɭ ɪ k uː r ɯ
கடற்கரை	k ɐ ɖ ɐ r k ɐ ɾ a ɪ̯
கண்ணாடி	k ɐ ɳː aː ɖ i
கட்டில்	k ɐ ʈː i l
கட்டிமை	k ɐ ʈː i m a ɪ̯
கண்ணீர்	k ɐ ɳː iː ɾ
கட்டுரை	k ɐ ʈː u ɾ a ɪ̯
கண்ணூர்	k ɐ ɳː uː ɾ
கட்டடம்	k ɐ ʈː ɐ ɖ ɐ m
கைதிகள்	kajt̪ikaɭ
கைதிகளை	kajt̪ikaɭaj
கம்பளம்	kampaɭam
கன்னடம்	kannaʈam
கணிப்பு	kaɳippu
கழிப்பு	kaɻippu
கங்கையை	kaŋkajjaj
காலத்தை	kaːlat̪t̪aj
கர்நாடக	kaɾn̪aːʈaka
கட்சித்	kaʈt͡ʃit̪
கருப்பை	kaɾuppaj
கருத்த்	kaɾut̪t̪
கருத்தை	kaɾut̪t̪aj
கருத்து	kaɾut̪t̪u
கருதும்	kaɾut̪um
கண்டனம்	kaɳʈanam
காரணமாக	kaːɾaɳamaːka
கட்டிக்	kaʈʈik
கட்டும்	kaʈʈum
கேலியாக	keːlijaːka
கேப்டன்	keːpʈan
கேட்கப்	keːʈkap
கேட்கவ்	keːʈkaʋ
கொல்லப்	kollap
கொடநாடு	koʈan̪aːʈu
கொஞ்சம்	koɲt͡ʃam
கொள்ளல்	koɭɭal
கோஷத்த்	koːʂat̪t̪
கொண்டது	koɳʈat̪u
குஜராத்	kud͡ʒaɾaːt̪
குறைந்த	kurajn̪t̪a
குறித்த	kurit̪t̪a
குற்றம்	kurram
குற்றப்	kurrap
குழிகளை	kuɻikaɭaj
கூறியத்	kuːrijat̪
கூச்சல்	kuːt͡ʃt͡ʃal
குடும்ப	kuʈumpa
கூடியது	kuːʈijat̪u
கூடுதல்	kuːʈut̪al
கூட்டப்	kuːʈʈap
கூட்டணி	kuːʈʈaɳi
லிஸ்பன்	l i s p ɐ n
லக்ஷணம்	l ɐ k ʂ ɐ ɳ ɐ m
லக்குவா	l ɐ kː u ʋ aː
லத்தாடு	l ɐ t̪ː aː ɖ u
லத்திகா	lat̪t̪ikaː
லத்தீன்	lat̪t̪iːn
லட்சமாக	laʈt͡ʃamaːka
லட்சுமி	laʈt͡ʃumi
மைதானம்	m a ɪ̯ d̪ aː n ɐ m
மைந்தன்	m a ɪ̯ n̪ d̪ ɐ n
மாதுளம்	m aː d̪ u ɭ ɐ m
மாமிசம்	m aː m i t͡ɕ ɐ m
மாமனார்	m aː m ɐ n aː ɾ
மானிடன்	m aː n i ɖ ɐ n
மான்கள்	m aː n ɡ ɐ ɭ
மாந்தர்	m aː n̪ d̪ ɐ ɾ
மாநிலம்	m aː n̪ i l ɐ m
மாற்றம்	m aː rː ɐ m
மாச்சல்	m aː t͡ɕː ɐ l
மாகாணம்	m aː ɡ aː ɳ ɐ m
மாண்டல்	m aː ɳ ɖ ɐ l
மார்கழி	m aː ɾ ɡ ɐ ɻ i
மாணவகம்	m aː ɳ ɐ ʋ ɐ ɡ ɐ m
மெதுவான	m e d̪ u ʋ aː n ɐ
மெல்லிய	m e l l i j ɐ
மென்னடை	m e nː ɐ ɖ a ɪ̯
மேலங்கி	m eː l ɐ ŋ ɡ i
மேம்படு	m eː m b ɐ ɖ u
மேன்றலை	m eː n r ɐ l a ɪ̯
மேற்படு	m eː r p ɐ ɖ u
மேகாலயா	m eː ɡ aː l ɐ j aː
மேடூகம்	m eː ɖ uː ɡ ɐ m
மிதியடி	m i d̪ i j ɐ ɖ i
மிதுனம்	m i d̪ u n ɐ m
மின்னல்	m i nː ɐ l
மின்னணு	m i nː ɐ ɳ u
மிசோரம்	m i t͡ɕ oː ɾ ɐ m
மிச்சம்	m i t͡ɕː ɐ m
மிகுதல்	m i ɡ u d̪ ɐ l
மிருதம்	m i ɾ u d̪ ɐ m
மிகுந்த	m i ɡ u n̪ d̪ ɐ
மிருகம்	m i ɾ u ɡ ɐ m
மிளகாய்	m i ɭ ɐ ɡ aː j
மிகவும்	m i ɡ ɐ ʋ u m
மிரட்டு	m i ɾ ɐ ʈː u
மீள்மம்	m iː ɭ m ɐ m
மொத்தம்	m o t̪ː ɐ m
மோதிரம்	m oː d̪ i ɾ ɐ m
முதலாளி	m u d̪ ɐ l aː ɭ i
முதலீடு	m u d̪ ɐ l iː ɖ u
முதன்மை	m u d̪ ɐ n m a ɪ̯
முயற்சி	m u j ɐ r t͡ɕ i
முன்பனி	m u n b ɐ n i
முன்னுற	m u nː u r ɐ
முன்னர்	m u nː ɐ ɾ
முன்னணி	m u nː ɐ ɳ i
முப்பது	m u pː ɐ d̪ u
முற்படு	m u r p ɐ ɖ u
முத்தம்	m u t̪ː ɐ m
முச்சம்	m u t͡ɕː ɐ m
முழுமதி	m u ɻ u m ɐ d̪ i
முருகன்	m u ɾ u ɡ ɐ n
முடக்கு	m u ɖ ɐ kː u
முகநூல்	m u ɡ ɐ n̪ uː l
முகவுரை	m u ɡ ɐ ʋ u ɾ a ɪ̯
முரணுரை	m u ɾ ɐ ɳ u ɾ a ɪ̯
முழங்கை	m u ɻ ɐ ŋ ɡ a ɪ̯
முரண்டு	m u ɾ ɐ ɳ ɖ u
மூக்கன்	m uː kː ɐ n
மூலதனம்	m uː l ɐ d̪ ɐ n ɐ m
மூடுபனி	m uː ɖ u b ɐ n i
மூட்டம்	m uː ʈː ɐ m
மதிப்பு	m ɐ d̪ i pː u
மதிராஸ்	m ɐ d̪ i ɾ aː s
மயக்கம்	m ɐ j ɐ kː ɐ m
மயக்கடி	m ɐ j ɐ kː ɐ ɖ i
மலாக்கா	m ɐ l aː kː aː
மலேசியா	m ɐ l eː t͡ɕ i j aː
மல்லிகை	m ɐ l l i ɡ a ɪ̯
மல்கியா	m ɐ l ɡ i j aː
மந்தினி	m ɐ n̪ d̪ i n i
மந்திரி	m ɐ n̪ d̪ i ɾ i
மந்துரை	m ɐ n̪ d̪ u ɾ a ɪ̯
மன்னும்	m ɐ nː u m
மறுமொழி	m ɐ r u m o ɻ i
மறுநாள்	m ɐ r u n̪ aː ɭ
மறுசொல்	m ɐ r u t͡ɕ o l
மறுகால்	m ɐ r u ɡ aː l
மற்றும்	m ɐ rː u m
மத்ரித்	m ɐ t̪ ɾ i t̪
மத்தேயு	m ɐ t̪ː eː j u
மத்தளம்	m ɐ t̪ː ɐ ɭ ɐ m
மச்சான்	m ɐ t͡ɕː aː n
மழைபெய்	m ɐ ɻ a ɪ̯ b e j
மழைநீர்	m ɐ ɻ a ɪ̯ n̪ iː ɾ
மஞ்சிகை	m ɐ ɲ d͡ʑ i ɡ a ɪ̯
மரியாதை	m ɐ ɾ i j aː d̪ a ɪ̯
மகிழ்வி	m ɐ ɡ i ɻ ʋ i
மருதாணி	m ɐ ɾ u d̪ aː ɳ i
மருமகன்	m ɐ ɾ u m ɐ h ɐ n
மருமகள்	m ɐ ɾ u m ɐ h ɐ ɭ
மருமகன்	m ɐ ɾ u m ɐ ɡ ɐ n
மருமகள்	m ɐ ɾ u m ɐ ɡ ɐ ɭ
மருந்து	m ɐ ɾ u n̪ d̪ u
மருப்பு	m ɐ ɾ u pː u
மருங்கு	m ɐ ɾ u ŋ ɡ u
மருட்டு	m ɐ ɾ u ʈː u
மடக்கம்	m ɐ ɖ ɐ kː ɐ m
மணவாளன்	m ɐ ɳ ɐ ʋ aː ɭ ɐ n
மண்டபம்	m ɐ ɳ ɖ ɐ b ɐ m
மண்டலம்	m ɐ ɳ ɖ ɐ l ɐ m
மகரவாழை	m ɐ ɡ ɐ ɾ ɐ ʋ aː ɻ a ɪ̯
மடங்கல்	m ɐ ɖ ɐ ŋ ɡ ɐ l
மங்களம்	m ɐ ŋ ɡ ɐ ɭ ɐ m
மண்வளம்	m ɐ ɳ ʋ ɐ ɭ ɐ m
மரங்கள்	m ɐ ɾ ɐ ŋ ɡ ɐ ɭ
மரவள்ளி	m ɐ ɾ ɐ ʋ ɐ ɭː i
மிளகாய்	m ɨ ɭ ɛː
மட்டும்	m ɐ ʈː u m
மனைவிய்	manajʋij
மற்றும்	marrum
மறுநாள்	marun̪aːɭ
மறுத்த்	marut̪t̪
மரபுகளை	maɾapukaɭaj
மரியாதை	maɾijaːt̪aj
மணிக்கு	maɳikku
மாலதிய்	maːlat̪ij
மாநாடாக	maːn̪aːʈaːka
மாநிலச்	maːn̪ilat͡ʃ
மட்டும்	maʈʈum
மட்டுமே	maʈʈumeː
மேலாளர்	meːlaːɭaɾ
மேற்படி	meːrpaʈi
மிகவும்	mikaʋum
மீன்கள்	miːnkaɭ
மிட்டல்	miʈʈal
மீட்டர்	miːʈʈaɾ
மொத்தம்	mot̪t̪am
மோதியது	moːt̪ijat̪u
முகர்ஜி	mukaɾd͡ʒi
முக்கிய	mukkija
முன்னர்	munnaɾ
முன்னணி	munnaɳi
முந்தைய	mun̪t̪ajja
முறையாக	murajjaːka
முறைகள்	murajkaɭ
முதலில்	mut̪alil
நாயனார்	n̪ aː j ɐ n aː ɾ
நாற்பது	n̪ aː r p ɐ d̪ u
நாற்றம்	n̪ aː rː ɐ m
நாடுகள்	n̪ aː ɖ u ɡ ɐ ɭ
நாங்கள்	n̪ aː ŋ ɡ ɐ ɭ
நாட்டம்	n̪ aː ʈː ɐ m
நெஞ்சம்	n̪ e ɲ d͡ʑ ɐ m
நேரப்பட	n̪ eː ɾ ɐ pː ɐ ɖ ɐ
நிபானம்	n̪ i b aː n ɐ m
நிபுணர்	n̪ i b u ɳ ɐ ɾ
நிதானம்	n̪ i d̪ aː n ɐ m
நியாயம்	n̪ i j aː j ɐ m
நியாசம்	n̪ i j aː t͡ɕ ɐ m
நியுதம்	n̪ i j u d̪ ɐ m
நிலையம்	n̪ i l a ɪ̯ j ɐ m
நிலவொளி	n̪ i l ɐ ʋ o ɭ i
நிலங்கு	n̪ i l ɐ ŋ ɡ u
நிமிடம்	n̪ i m i ɖ ɐ m
நிமிஷம்	n̪ i m i ʂ ɐ m
நிம்மதி	n̪ i mː ɐ d̪ i
நிந்தனை	n̪ i n̪ d̪ ɐ n a ɪ̯
நிச்சயி	n̪ i t͡ɕː ɐ j i
நிவாசம்	n̪ i ʋ aː t͡ɕ ɐ m
நிரோதம்	n̪ i ɾ oː d̪ ɐ m
நிருபம்	n̪ i ɾ u b ɐ m
நிரம்பு	n̪ i ɾ ɐ m b u
நிரந்தர	n̪ i ɾ ɐ n̪ d̪ ɐ ɾ ɐ
நிரப்பு	n̪ i ɾ ɐ pː u
நிவப்பு	n̪ i ʋ ɐ pː u
நிகண்டு	n̪ i ɡ ɐ ɳ ɖ u
நிகழ்வு	n̪ i ɡ ɐ ɻ ʋ u
நீதிபதி	n̪ iː d̪ i b ɐ d̪ i
நீக்கல்	n̪ iː kː ɐ l
நீக்கம்	n̪ iː kː ɐ m
நீலகிரி	n̪ iː l ɐ ɡ i ɾ i
நீத்தம்	n̪ iː t̪ː ɐ m
நீரியம்	n̪ iː ɾ i j ɐ m
நீட்பம்	n̪ iː ʈ p ɐ m
நீங்கள்	n̪ iː ŋ ɡ ɐ ɭ
நுட்பம்	n̪ u ʈ p ɐ m
நுடக்கு	n̪ u ɖ ɐ kː u
நுளம்பு	n̪ u ɭ ɐ m b u
நூலறிவு	n̪ uː l ɐ r i ʋ u
நல்லூழ்	n̪ ɐ l l uː ɻ
நல்லவர்	n̪ ɐ l l ɐ ʋ ɐ ɾ
நன்கொடை	n̪ ɐ n ɡ o ɖ a ɪ̯
நன்னாரி	n̪ ɐ nː aː ɾ i
நன்னூல்	n̪ ɐ nː uː l
நறுக்கு	n̪ ɐ r u kː u
நறுமணம்	n̪ ɐ r u m ɐ ɳ ɐ m
நற்றிணை	n̪ ɐ rː i ɳ a ɪ̯
நத்தார்	n̪ ɐ t̪ː aː ɾ
நசுக்கு	n̪ ɐ t͡ɕ u kː u
நசுங்கு	n̪ ɐ t͡ɕ u ŋ ɡ u
நடைமேடை	n̪ ɐ ɖ a ɪ̯ m eː ɖ a ɪ̯
நண்பகல்	n̪ ɐ ɳ b ɐ ɡ ɐ l
நடுங்கு	n̪ ɐ ɖ u ŋ ɡ u
நவம்பர்	n̪ ɐ ʋ ɐ m b ɐ ɾ
நரந்தம்	n̪ ɐ ɾ ɐ n̪ d̪ ɐ m
நடராஜர்	n̪ ɐ ɖ ɐ ɾ aː d͡ʑ ɐ ɾ
நச்சுத்	n̪at͡ʃt͡ʃut̪
நடத்தாத	n̪aʈat̪t̪aːt̪a
நடத்திய	n̪aʈat̪t̪ija
நாங்கள்	n̪aːŋkaɭ
நாட்கள்	n̪aːʈkaɭ
நாள்கள்	n̪aːɭkaɭ
நாடுகள்	n̪aːʈukaɭ
நிறைகளை	n̪irajkaɭaj
நிறைந்த	n̪irajn̪t̪a
நிறுத்த	n̪irut̪t̪a
நிரந்தர	n̪iɾan̪t̪aɾa
நீக்கம்	n̪iːkkam
நீலகிரி	n̪iːlakiɾi
நிருபமா	n̪iɾupamaː
நிர்வாக	n̪iɾʋaːka
நீங்கள்	n̪iːŋkaɭ
நோக்கம்	n̪oːkkam
ஒதுக்கு	o d̪ u kː u
ஒதுங்கு	o d̪ u ŋ ɡ u
ஒலிநூல்	o l i n̪ uː l
ஒலுங்கு	o l u ŋ ɡ u
ஒப்புமை	o pː u m a ɪ̯
ஒப்புகை	o pː u ɡ a ɪ̯
ஒப்புவி	o pː u ʋ i
ஒற்றுமை	o rː u m a ɪ̯
ஒளிநகல்	o ɭ i n̪ ɐ ɡ ɐ l
ஒழிப்பு	o ɻ i pː u
ஒடுக்கு	o ɖ u kː u
ஒழுக்கு	o ɻ u kː u
ஒழுங்கை	o ɻ u ŋ ɡ a ɪ̯
ஒழுங்கு	o ɻ u ŋ ɡ u
ஒவ்வாமை	o ʋː aː m a ɪ̯
ஒவ்வொரு	o ʋː o ɾ u
ஒட்டகம்	o ʈː ɐ ɡ ɐ m
ஒலியும்	olijum
ஒன்றில்	onril
ஒன்றின்	onrin
ஓங்கில்	oː ŋ ɡ i l
ஓராண்ட்	oːɾaːɳʈ
ஒட்டிய்	oʈʈij
ஓட்டிச்	oːʈʈit͡ʃ
படுகுழி	p a ɖ u k u ɻ i
பாதைகள்	p aː d̪ a ɪ̯ ɡ ɐ ɭ
பாதாளம்	p aː d̪ aː ɭ ɐ m
பாலினம்	p aː l i n ɐ m
பாலுறவு	p aː l u r ɐ ʋ u
பாம்பன்	p aː m b ɐ n
பாற்பசு	p aː r p ɐ t͡ɕ u
பாசுரம்	p aː t͡ɕ u ɾ ɐ m
பாகுபடு	p aː ɡ u b ɐ ɖ u
பாடசாலை	p aː ɖ ɐ t͡ɕ aː l a ɪ̯
பாட்டன்	p aː ʈː ɐ n
பெற்றம்	p e rː ɐ m
பெருமழை	p e ɾ u m ɐ ɻ a ɪ̯
பெண்கள்	p e ɳ ɡ ɐ ɭ
பெண்கரு	p e ɳ ɡ ɐ ɾ u
பேரினம்	p eː ɾ i n ɐ m
பேரருவி	p eː ɾ ɐ ɾ u ʋ i
பின்பனி	p i n b ɐ n i
பின்னம்	p i nː ɐ m
பிற்கழி	p i r k ɐ ɻ i
பிற்படை	p i r p ɐ ɖ a ɪ̯
பிறந்தை	p i r ɐ n̪ d̪ a ɪ̯
பிறப்பு	p i r ɐ pː u
பிறகிடு	p i r ɐ ɡ i ɖ u
பிறங்கு	p i r ɐ ŋ ɡ u
பிசைதல்	p i t͡ɕ a ɪ̯ d̪ ɐ l
பிசாசன்	p i t͡ɕ aː t͡ɕ ɐ n
பிசாசர்	p i t͡ɕ aː t͡ɕ ɐ ɾ
பிசுனம்	p i t͡ɕ u n ɐ m
பிசக்கு	p i t͡ɕ ɐ kː u
பித்தம்	p i t̪ː ɐ m
பிசங்கு	p i t͡ɕ ɐ ŋ ɡ u
பிராயம்	p i ɾ aː j ɐ m
பிரேதம்	p i ɾ eː d̪ ɐ m
பிரியம்	p i ɾ i j ɐ m
பிரியன்	p i ɾ i j ɐ n
பிரபலம்	p i ɾ ɐ b ɐ l ɐ m
பிரதிமை	p i ɾ ɐ d̪ i m a ɪ̯
பிரதமம்	p i ɾ ɐ d̪ ɐ m ɐ m
பிழக்கு	p i ɻ ɐ kː u
பிழம்பு	p i ɻ ɐ m b u
பிரஞ்சு	p i ɾ ɐ ɲ d͡ʑ u
பிங்கலை	p i ŋ ɡ ɐ l a ɪ̯
பிங்கம்	p i ŋ ɡ ɐ m
பிண்டம்	p i ɳ ɖ ɐ m
பிரளயம்	p i ɾ ɐ ɭ ɐ j ɐ m
பீரிதம்	p iː ɾ i d̪ ɐ m
பொய்யன்	p o jː ɐ n
பொங்கல்	p o ŋ ɡ ɐ l
புதையல்	p u d̪ a ɪ̯ j ɐ l
புதினம்	p u d̪ i n ɐ m
புதுமர்	p u d̪ u m ɐ ɾ
புலிகள்	p u l i ɡ ɐ ɭ
புலம்பு	p u l ɐ m b u
புனிதம்	p u n i d̪ ɐ m
புனிதன்	p u n i d̪ ɐ n
புத்தன்	p u t̪ː ɐ n
புடைமண்	p u ɖ a ɪ̯ m ɐ ɳ
புராணம்	p u ɾ aː ɳ ɐ m
புட்பம்	p u ʈ p ɐ m
புஷ்பம்	p u ʂ p ɐ m
