はっ	h a̠ ʔ
うだいじん	ɯ̟ᵝ d a̠ i ʑ ĩ ɴ
うたいだし	ɯ̟ᵝ t a̠ i d a̠ ɕ i
うたいて	ɯ̟ᵝ t a̠ i t e̞
うたいまわし	ɯ̟ᵝ t a̠ i m a̠ ɰᵝ a̠ ɕ i
うたいもんく	ɯ̟ᵝ t a̠ i m õ̞ ŋ k ɯ̟ᵝ
うたう	ɯ̟ᵝ t a̠ ɯ̟ᵝ
うたがい	ɯ̟ᵝ t a̠ ɡ a̠ i
うたがう	ɯ̟ᵝ t a̠ ɡ a̠ ɯ̟ᵝ
ほうまつ	h o̞ː m a̠ t͡s ɨᵝ
うたガルタ	ɯ̟ᵝ t a̠ ɡ a̠ ɾ ɯ̟ᵝ t a̠
うたがわしい	ɯ̟ᵝ t a̠ ɡ a̠ ɰᵝ a̠ ɕ iː
うたくこつ	ɯ̟ᵝ t a̠ k ɯ̟̊ᵝ k o̞ t͡s ɨᵝ
うたごえ	ɯ̟ᵝ t a̠ ɡ o̞ e̞
うたた	ɯ̟ᵝ t a̠ t a̠
うたたね	ɯ̟ᵝ t a̠ t a̠ n e̞
うたつぐみ	ɯ̟ᵝ t a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ mʲ i
かじん	k a̠ ʑ ĩ ɴ
うたひめ	ɯ̟ᵝ t a̠ ç i m e̞
がっかん	ɡ a̠ k̚ k ã̠ ɴ
ががくりょう	ɡ a̠ ɡ a̠ k ɯ̟ᵝ ɾʲ o̞ː
うたよみ	ɯ̟ᵝ t a̠ j o̞ mʲ i
うたよみどり	ɯ̟ᵝ t a̠ j o̞ mʲ i d o̞ ɾʲ i
ウタリ	ɯ̟ᵝ t a̠ ɾʲ i
うだる	ɯ̟ᵝ d a̠ ɾ ɯ̟ᵝ
うたわり	ɯ̟ᵝ t a̠ ɰᵝ a̠ ɾʲ i
うだん	ɯ̟ᵝ d ã̠ ɴ
いえ	i e̞
うちあげ	ɯ̟ᵝ t͡ɕ i a̠ ɡ e̞
うちあける	ɯ̟ᵝ t͡ɕ i a̠ k e̞ ɾ ɯ̟ᵝ
うちあわせ	ɯ̟ᵝ t͡ɕ i a̠ ɰᵝ a̠ s e̞
うちあわせる	ɯ̟ᵝ t͡ɕ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
うちおとす	ɯ̟ᵝ t͡ɕ i o̞ t o̞ s ɨᵝ
うちがけ	ɯ̟ᵝ t͡ɕ i ɡ a̠ k e̞
うちかた	ɯ̟ᵝ t͡ɕ i k a̠ t a̠
うちかつ	ɯ̟ᵝ t͡ɕ i k a̠ t͡s ɨᵝ
うちカメ	ɯ̟ᵝ t͡ɕ i k a̠ m e̞
うちがわ	ɯ̟ᵝ t͡ɕ i ɡ a̠ ɰᵝ a̠
うちき	ɯ̟ᵝ t͡ɕ i̥ kʲ i
うちぎ	ɯ̟ᵝ t͡ɕ i ɡʲ i
うちきり	ɯ̟ᵝ t͡ɕ i kʲ i ɾʲ i
うちきる	ɯ̟ᵝ t͡ɕ i kʲ i ɾ ɯ̟ᵝ
うちくだく	ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ d a̠ k ɯ̟ᵝ
うちくび	ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ bʲ i
うちけす	ɯ̟ᵝ t͡ɕ i k e̞ s ɨᵝ
うちこみ	ɯ̟ᵝ t͡ɕ i k o̞ mʲ i
ぶちこむ	b ɯ̟ᵝ t͡ɕ i k o̞ m ɯ̟ᵝ
うちころす	ɯ̟ᵝ t͡ɕ i k o̞ ɾ o̞ s ɨᵝ
うちじに	ɯ̟ᵝ t͡ɕ i ʑ i ɲ̟ i
うちぜい	ɯ̟ᵝ t͡ɕ i z e̞ː
うちだす	ɯ̟ᵝ t͡ɕ i d a̠ s ɨᵝ
うちたてる	ɯ̟ᵝ t͡ɕ i t a̠ t e̞ ɾ ɯ̟ᵝ
うちっぱなし	ɯ̟ᵝ t͡ɕ i p̚ p a̠ n a̠ ɕ i
うちどく	ɯ̟ᵝ t͡ɕ i d o̞ k ɯ̟ᵝ
うちとける	ɯ̟ᵝ t͡ɕ i t o̞ k e̞ ɾ ɯ̟ᵝ
うちどころ	ɯ̟ᵝ t͡ɕ i d o̞ k o̞ ɾ o̞
うちとみ	ɯ̟ᵝ t͡ɕ i t o̞ mʲ i
うちとる	ɯ̟ᵝ t͡ɕ i t o̞ ɾ ɯ̟ᵝ
うちぬく	ɯ̟ᵝ t͡ɕ i n ɯ̟ᵝ k ɯ̟ᵝ
うちはたす	ɯ̟ᵝ t͡ɕ i h a̠ t a̠ s ɨᵝ
うちはらう	ɯ̟ᵝ t͡ɕ i h a̠ ɾ a̠ ɯ̟ᵝ
うちほろぼす	ɯ̟ᵝ t͡ɕ i h o̞ ɾ o̞ b o̞ s ɨᵝ
うちまた	ɯ̟ᵝ t͡ɕ i m a̠ t a̠
うちまわり	ɯ̟ᵝ t͡ɕ i m a̠ ɰᵝ a̠ ɾʲ i
うちもも	ɯ̟ᵝ t͡ɕ i m o̞ m o̞
うちもらす	ɯ̟ᵝ t͡ɕ i m o̞ ɾ a̠ s ɨᵝ
うちやぶる	ɯ̟ᵝ t͡ɕ i j a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
うちゅう	ɯ̟ᵝ t͡ɕ ɨᵝː
うちゅうき	ɯ̟ᵝ t͡ɕ ɨᵝː kʲ i
うちゅうじん	ɯ̟ᵝ t͡ɕ ɨᵝː ʑ ĩ ɴ
うちゅうじん	ɯ̟ᵝ t͡ɕ ɨᵝː ʑ ĩ ɴ
うちゅうせん	ɯ̟ᵝ t͡ɕ ɨᵝː s ẽ̞ ɴ
うちゅうたんさ	ɯ̟ᵝ t͡ɕ ɨᵝː t ã̠ ɰ̃ s a̠
うちゅうたんさき	ɯ̟ᵝ t͡ɕ ɨᵝː t ã̠ ɰ̃ s a̠ kʲ i
うちゅうふく	ɯ̟ᵝ t͡ɕ ɨᵝː ɸ ɯ̟ᵝ k ɯ̟ᵝ
うちゅうろん	ɯ̟ᵝ t͡ɕ ɨᵝː ɾ õ̞ ɴ
うちょうてん	ɯ̟ᵝ t͡ɕ o̞ː t ẽ̞ ɴ
うちよせる	ɯ̟ᵝ t͡ɕ i j o̞ s e̞ ɾ ɯ̟ᵝ
うちわ	ɯ̟ᵝ t͡ɕ i ɰᵝ a̠
うちわげんか	ɯ̟ᵝ t͡ɕ i ɰᵝ a̠ ɡ ẽ̞ ŋ k a̠
うちわもめ	ɯ̟ᵝ t͡ɕ i ɰᵝ a̠ m o̞ m e̞
うっかり	ɯ̟ᵝ k̚ k a̠ ɾʲ i
うっかりもの	ɯ̟ᵝ k̚ k a̠ ɾʲ i m o̞ n o̞
うったえる	ɯ̟ᵝ t̚ t a̠ e̞ ɾ ɯ̟ᵝ
うっとう	ɯ̟ᵝ t̚ t o̞ː
うっとうしい	ɯ̟ᵝ t̚ t o̞ː ɕ i i
ウッドチャック	ɯ̟ᵝ d̚ d̥ o̞ t͡ɕ a̠ k̚ k ɯ̟ᵝ
うっとり	ɯ̟ᵝ t̚ t o̞ ɾʲ i
うっぷ	ɯ̟ᵝ p̚ p ɯ̟ᵝ
じゅうろくしま	d͡ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ ɕ i m a̠
うっわ	ɯ̟ᵝ ɰᵝː a̠
うつ	ɯ̟ᵝ t͡s ɨᵝ
うつ	ɯ̟ᵝ t͡s ɨᵝ
うつ	ɯ̟ᵝ t͡s ɨᵝ
うつぼ	ɯ̟ᵝ t͡s ɨᵝ b o̞
うづき	ɯ̟ᵝ z ɨᵝ kʲ i
うつきょく	ɯ̟ᵝ t͡s ɨᵝ kʲ o̞ k ɯ̟ᵝ
うつくしい	ɯ̟ᵝ t͡s ɨ̥ᵝ k ɯ̟ᵝ ɕ iː
うつくしい	ɯ̟ᵝ t͡s ɨᵝ k ɯ̟ᵝ ɕ iː
あける	a̠ k e̞ ɾ ɯ̟ᵝ
うつし	ɯ̟ᵝ t͡s ɨ̥ᵝ ɕ i
うつす	ɯ̟ᵝ t͡s ɨ̥ᵝ s ɨᵝ
うつす	ɯ̟ᵝ t͡s ɨ̥ᵝ s ɨᵝ
うつす	ɯ̟ᵝ t͡s ɨ̥ᵝ s ɨᵝ
うつそみ	ɯ̟ᵝ t͡s ɨᵝ s o̞ mʲ i
うつそみ	u t s u s o m i
うつつ	ɯ̟ᵝ t͡s ɨ̥ᵝ t͡s ɨᵝ
うつのみや	ɯ̟ᵝ t͡s ɨᵝ n o̞ mʲ i j a̠
うつびょう	ɯ̟ᵝ t͡s ɨᵝ bʲ o̞ː
うつぼ	ɯ̟ᵝ t͡s ɨᵝ b o̞
うつぼつ	ɯ̟ᵝ t͡s ɨᵝ b o̞ t͡s ɨᵝ
うつむく	ɯ̟ᵝ t͡s ɨᵝ m ɯ̟ᵝ k ɯ̟ᵝ
うつりが	ɯ̟ᵝ t͡s ɨᵝ ɾʲ i ɡ a̠
うつりかわり	ɯ̟ᵝ t͡s ɨᵝ ɾʲ i k a̠ ɰᵝ a̠ ɾʲ i
うつりかわる	ɯ̟ᵝ t͡s ɨᵝ ɾʲ i k a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うつる	ɯ̟ᵝ t͡s ɨᵝ ɾ ɯ̟ᵝ
うつる	ɯ̟ᵝ t͡s ɨᵝ ɾ ɯ̟ᵝ
うつる	ɯ̟ᵝ t͡s ɨᵝ ɾ ɯ̟ᵝ
うつろ	ɯ̟ᵝ t͡s ɨᵝ ɾ o̞
うつろう	ɯ̟ᵝ t͡s ɨᵝ ɾ o̞ː
き	kʲ i
うてき	ɯ̟ᵝ t e̞ kʲ i
うでぐみ	ɯ̟ᵝ d e̞ ɡ ɯ̟ᵝ mʲ i
うでクロス	ɯ̟ᵝ d e̞ k ɯ̟ᵝ ɾ o̞ s ɨᵝ
うでじまん	ɯ̟ᵝ d e̞ ʑ i m ã̠ ɴ
うでずもう	ɯ̟ᵝ d e̞ z ɨᵝ m o̞ː
うでたてふせ	ɯ̟ᵝ d e̞ t a̠ t e̞ ɸ ɯ̟̊ᵝ s e̞
うでどけい	ɯ̟ᵝ d e̞ d o̞ k e̞ː
がく	ɡ a̠ k ɯ̟ᵝ
うでまえ	ɯ̟ᵝ d e̞ m a̠ e̞
うでまくら	ɯ̟ᵝ d e̞ m a̠ k ɯ̟ᵝ ɾ a̠
うでまくり	ɯ̟ᵝ d e̞ m a̠ k ɯ̟ᵝ ɾʲ i
うでわ	ɯ̟ᵝ d e̞ ɰᵝ a̠
うてん	ɯ̟ᵝ t ẽ̞ ɴ
うと	ɯ̟ᵝ t o̞
うとい	ɯ̟ᵝ t o̞ i
うとうと	ɯ̟ᵝ t o̞ː t o̞
うどのき	ɯ̟ᵝ d o̞ n o̞ kʲ i
うとましい	ɯ̟ᵝ t o̞ m a̠ ɕ iː
うどん	ɯ̟ᵝ d õ̞ ɴ
うな	ɯ̟ᵝ n a̠
うながす	ɯ̟ᵝ n a̠ ɡ a̠ s ɨᵝ
うなじ	ɯ̟ᵝ n a̠ ʑ i
うなじゅう	ɯ̟ᵝ n a̠ ʑ ɨᵝː
うなずく	ɯ̟ᵝ n a̠ z ɨᵝ k ɯ̟ᵝ
かいてい	k a̠ i t e̞ː
うなだれる	ɯ̟ᵝ n a̠ d a̠ ɾ e̞ ɾ ɯ̟ᵝ
うなる	ɯ̟ᵝ n a̠ ɾ ɯ̟ᵝ
うに	ɯ̟ᵝ ɲ̟ i
ウニフラ	ɯ̟ᵝ ɲ̟ i ɸ ɯ̟ᵝ ɾ a̠
き	kʲ i
なんじ	n ã̠ ɲ̟ d͡ʑ i
うぬぼれる	ɯ̟ᵝ n ɯ̟ᵝ b o̞ ɾ e̞ ɾ ɯ̟ᵝ
うね	ɯ̟ᵝ n e̞
うねり	ɯ̟ᵝ n e̞ ɾʲ i
うねる	ɯ̟ᵝ n e̞ ɾ ɯ̟ᵝ
うの	ɯ̟ᵝ n o̞
うのみ	ɯ̟ᵝ n o̞ mʲ i
うばい	ɯ̟ᵝ b a̠ i
うばいあう	ɯ̟ᵝ b a̠ i a̠ ɯ̟ᵝ
うばう	ɯ̟ᵝ b a̠ ɯ̟ᵝ
うばがい	ɯ̟ᵝ b a̠ ɡ a̠ i
うばぐるま	ɯ̟ᵝ b a̠ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
うばざめ	ɯ̟ᵝ b a̠ z a̠ m e̞
うばそく	ɯ̟ᵝ b a̠ s o̞ k ɯ̟ᵝ
うばたま	ɯ̟ᵝ b a̠ t a̠ m a̠
ウパニシャッド	ɯ̟ᵝ p a̠ ɲ̟ i ɕ a̠ d̚ d̥ o̞
はつ	h a̠ t͡s ɨᵝ
うぶげ	ɯ̟ᵝ b ɯ̟ᵝ ɡ e̞
うぶごえ	ɯ̟ᵝ b ɯ̟ᵝ ɡ o̞ e̞
ウプサラ	ɯ̟ᵝ p ɯ̟̊ᵝ s a̠ ɾ a̠
うぷぬし	ɯ̟ᵝ p ɯ̟ᵝ n ɯ̟ᵝ ɕ i
うぷる	ɯ̟ᵝ p ɯ̟ᵝ ɾ ɯ̟ᵝ
うべなう	ɯ̟ᵝ b e̞ n a̠ ɯ̟ᵝ
うへん	ɯ̟ᵝ h ẽ̞ ɴ
うま	ɯ̟ᵝ m a̠
うまい	ɯ̟ᵝ m a̠ i
うまか	ɯ̟ᵝ m a̠ k a̠
うまから	ɯ̟ᵝ m a̠ k a̠ ɾ a̠
うまごみ	ɯ̟ᵝ m a̠ ɡ o̞ mʲ i
うまごや	ɯ̟ᵝ m a̠ ɡ o̞ j a̠
うまのり	ɯ̟ᵝ m a̠ n o̞ ɾʲ i
うまばん	ɯ̟ᵝ m a̠ b ã̠ ɴ
うまみ	ɯ̟ᵝ m a̠ mʲ i
うまや	ɯ̟ᵝ m a̠ j a̠
きゅうひ	kʲ ɨᵝː ç i
うまれかわり	ɯ̟ᵝ m a̠ ɾ e̞ k a̠ ɰᵝ a̠ ɾʲ i
うまれかわる	ɯ̟ᵝ m a̠ ɾ e̞ k a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うまれつき	ɯ̟ᵝ m a̠ ɾ e̞ t͡s ɨᵝ kʲ i
うまれもつ	ɯ̟ᵝ m a̠ ɾ e̞ m o̞ t͡s ɨᵝ
うまれる	ɯ̟ᵝ m a̠ ɾ e̞ ɾ ɯ̟ᵝ
うみがめ	ɯ̟ᵝ mʲ i ɡ a̠ m e̞
うみがらす	ɯ̟ᵝ mʲ i ɡ a̠ ɾ a̠ s ɨᵝ
うみじ	ɯ̟ᵝ mʲ i ʑ i
うみしだ	ɯ̟ᵝ mʲ i ɕ i d a̠
うみすずめ	ɯ̟ᵝ mʲ i s ɨᵝ z ɨᵝ m e̞
うみだす	ɯ̟ᵝ mʲ i d a̠ s ɨᵝ
かいり	k a̠ i ɾʲ i
うみとかげ	ɯ̟ᵝ mʲ i t o̞ k a̠ ɡ e̞
うみなり	ɯ̟ᵝ mʲ i n a̠ ɾʲ i
うみねこ	ɯ̟ᵝ mʲ i n e̞ k o̞
うみへび	ɯ̟ᵝ mʲ i h e̞ bʲ i
うみへびざ	ɯ̟ᵝ mʲ i h e̞ bʲ i z a̠
うみぼうず	ɯ̟ᵝ mʲ i b o̞ː z ɨᵝ
うみほたる	ɯ̟ᵝ mʲ i h o̞ t a̠ ɾ ɯ̟ᵝ
みる	mʲ i ɾ ɯ̟ᵝ
うみわけ	ɯ̟ᵝ mʲ i ɰᵝ a̠ k e̞
うみわし	ɯ̟ᵝ mʲ i ɰᵝ a̠ ɕ i
うむ	ɯ̟ᵝ m ɯ̟ᵝ
あぐむ	a̠ ɡ ɯ̟ᵝ m ɯ̟ᵝ
うむ	ɯ̟ᵝ m ɯ̟ᵝ
うむ	ɯ̟ᵝ m ɯ̟ᵝ
うむ	ɯ̟ᵝ m ɯ̟ᵝ
うむ	ɯ̟ᵝ m ɯ̟ᵝ
うめ	ɯ̟ᵝ m e̞
うめあわせ	ɯ̟ᵝ m e̞ a̠ ɰᵝ a̠ s e̞
うめあわせる	ɯ̟ᵝ m e̞ a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
うめき	ɯ̟ᵝ m e̞ kʲ i
うめきごえ	ɯ̟ᵝ m e̞ kʲ i ɡ o̞ e̞
うめく	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
うめこむ	ɯ̟ᵝ m e̞ k o̞ m ɯ̟ᵝ
うめたて	ɯ̟ᵝ m e̞ t a̠ t e̞
うめたてる	ɯ̟ᵝ m e̞ t a̠ t e̞ ɾ ɯ̟ᵝ
うめぼし	ɯ̟ᵝ m e̞ b o̞ ɕ i
うもれる	ɯ̟ᵝ m o̞ ɾ e̞ ɾ ɯ̟ᵝ
ゔゃ	bʲ a̠
ヴャ	bʲ a̠
うやうやしい	ɯ̟ᵝ j a̠ ɯ̟ᵝ j a̠ ɕ iː
けい	k e̞ː
うやまう	ɯ̟ᵝ j a̠ m a̠ ɯ̟ᵝ
うやむや	ɯ̟ᵝ j a̠ m ɯ̟ᵝ j a̠
ゔゅ	bʲ ɨᵝ
ヴュ	bʲ ɨᵝ
うゆう	ɯ̟ᵝ j ɯ̟ᵝː
ゔょ	bʲ o̞
ヴョ	bʲ o̞
うよく	ɯ̟ᵝ j o̞ k ɯ̟ᵝ
うよく	ɯ̟ᵝ j o̞ k ɯ̟ᵝ
うら	ɯ̟ᵝ ɾ a̠
うら	ɯ̟ᵝ ɾ a̠
ウラー	ɯ̟ᵝ ɾ a̠ː
うらうつり	ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ t͡s ɨᵝ ɾʲ i
うらおもて	ɯ̟ᵝ ɾ a̠ o̞ m o̞ t e̞
うらが	ɯ̟ᵝ ɾ a̠ ɡ a̠
うらがえし	ɯ̟ᵝ ɾ a̠ ɡ a̠ e̞ ɕ i
うらがえす	ɯ̟ᵝ ɾ a̠ ɡ a̠ e̞ s ɨᵝ
うらがえる	ɯ̟ᵝ ɾ a̠ ɡ a̠ e̞ ɾ ɯ̟ᵝ
うらがき	ɯ̟ᵝ ɾ a̠ ɡ a̠ kʲ i
うらかた	ɯ̟ᵝ ɾ a̠ k a̠ t a̠
うらがわ	ɯ̟ᵝ ɾ a̠ ɡ a̠ ɰᵝ a̠
うらぎり	ɯ̟ᵝ ɾ a̠ ɡʲ i ɾʲ i
うらぎりもの	ɯ̟ᵝ ɾ a̠ ɡʲ i ɾʲ i m o̞ n o̞
うらぎる	ɯ̟ᵝ ɾ a̠ ɡʲ i ɾ ɯ̟ᵝ
うらぐち	ɯ̟ᵝ ɾ a̠ ɡ ɯ̟ᵝ t͡ɕ i
うらこうさく	ɯ̟ᵝ ɾ a̠ k o̞ː s a̠ k ɯ̟ᵝ
うらごえ	ɯ̟ᵝ ɾ a̠ ɡ o̞ e̞
うらごし	ɯ̟ᵝ ɾ a̠ ɡ o̞ ɕ i
ウラジオ	ɯ̟ᵝ ɾ a̠ ʑ i o̞
ウラジオ	ɯ̟ᵝ ɾ a̠ ʑ i o̞
ウラジオストク	ɯ̟ᵝ ɾ a̠ ʑ i o̞ s ɨ̥ᵝ t o̞ k ɯ̟ᵝ
ウラジオストク	ɯ̟ᵝ ɾ a̠ ʑ i o̞ s ɨᵝ t o̞ k ɯ̟ᵝ
ウラジオストク	ɯ̟ᵝ ɾ a̠ ʑ i o̞ s ɨᵝ t o̞ k ɯ̟ᵝ
うらしゃかい	ɯ̟ᵝ ɾ a̠ ɕ a̠ k a̠ i
うらて	ɯ̟ᵝ ɾ a̠ t e̞
うらど	ɯ̟ᵝ ɾ a̠ d o̞
うらどおり	ɯ̟ᵝ ɾ a̠ d o̞ː ɾʲ i
うらとり	ɯ̟ᵝ ɾ a̠ t o̞ ɾʲ i
うらどり	ɯ̟ᵝ ɾ a̠ d o̞ ɾʲ i
うらない	ɯ̟ᵝ ɾ a̠ n a̠ i
うらないし	ɯ̟ᵝ ɾ a̠ n a̠ i ɕ i
うらなう	ɯ̟ᵝ ɾ a̠ n a̠ ɯ̟ᵝ
うらにほん	ɯ̟ᵝ ɾ a̠ ɲ̟ i h õ̞ ɴ
ウラヌス	ɯ̟ᵝ ɾ a̠ n ɯ̟ᵝ s ɨᵝ
うらはく	ɯ̟ᵝ ɾ a̠ h a̠ k ɯ̟ᵝ
うらばなし	ɯ̟ᵝ ɾ a̠ b a̠ n a̠ ɕ i
うらはら	ɯ̟ᵝ ɾ a̠ h a̠ ɾ a̠
うらびょうし	ɯ̟ᵝ ɾ a̠ bʲ o̞ː ɕ i
うらぼん	ɯ̟ᵝ ɾ a̠ b õ̞ ɴ
うらみ	ɯ̟ᵝ ɾ a̠ mʲ i
うらみぶし	ɯ̟ᵝ ɾ a̠ mʲ i b ɯ̟ᵝ ɕ i
うらむ	ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
うらむき	ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ kʲ i
うらむき	ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ kʲ i
うらめ	ɯ̟ᵝ ɾ a̠ m e̞
うらめしい	ɯ̟ᵝ ɾ a̠ m e̞ ɕ iː
うらもん	ɯ̟ᵝ ɾ a̠ m õ̞ ɴ
うらやま	ɯ̟ᵝ ɾ a̠ j a̠ m a̠
うらやましい	ɯ̟ᵝ ɾ a̠ j a̠ m a̠ ɕ i i
うらやみ	ɯ̟ᵝ ɾ a̠ j a̠ mʲ i
うらやむ	ɯ̟ᵝ ɾ a̠ j a̠ m ɯ̟ᵝ
うららか	ɯ̟ᵝ ɾ a̠ ɾ a̠ k a̠
うらる	ɯ̟ᵝ ɾ a̠ ɾ ɯ̟ᵝ
ウラル	ɯ̟ᵝ ɾ a̠ ɾ ɯ̟ᵝ
うらルート	ɯ̟ᵝ ɾ a̠ ɾ ɯ̟ᵝː t o̞
うらロム	ɯ̟ᵝ ɾ a̠ ɾ o̞ m ɯ̟ᵝ
うらわ	ɯ̟ᵝ ɾ a̠ ɰᵝ a̠
うらわかい	ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ k a̠ i
うらわざ	ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ z a̠
ウラン	ɯ̟ᵝ ɾ ã̠ ɴ
ウランバートル	ɯ̟ᵝ ɾ ã̠ m b a̠ː t o̞ ɾ ɯ̟ᵝ
うり	ɯ̟ᵝ ɾʲ i
うりあげ	ɯ̟ᵝ ɾʲ i a̠ ɡ e̞
うりかい	ɯ̟ᵝ ɾʲ i k a̠ i
うりきれ	ɯ̟ᵝ ɾʲ i kʲ i ɾ e̞
うりきれる	ɯ̟ᵝ ɾʲ i kʲ i ɾ e̞ ɾ ɯ̟ᵝ
うりこ	ɯ̟ᵝ ɾʲ i k o̞
うりこむ	ɯ̟ᵝ ɾʲ i k o̞ m ɯ̟ᵝ
うりざねがお	ɯ̟ᵝ ɾʲ i z a̠ n e̞ ɡ a̠ o̞
うりさばく	ɯ̟ᵝ ɾʲ i s a̠ b a̠ k ɯ̟ᵝ
うりだす	ɯ̟ᵝ ɾʲ i d a̠ s ɨᵝ
うりて	ɯ̟ᵝ ɾʲ i t e̞
うりとばす	ɯ̟ᵝ ɾʲ i t o̞ b a̠ s ɨᵝ
うりば	ɯ̟ᵝ ɾʲ i b a̠
うりはらう	ɯ̟ᵝ ɾʲ i h a̠ ɾ a̠ ɯ̟ᵝ
うりみばえ	ɯ̟ᵝ ɾʲ i mʲ i b a̠ e̞
うりもの	ɯ̟ᵝ ɾʲ i m o̞ n o̞
うりょうけい	ɯ̟ᵝ ɾʲ o̞ː k e̞ː
うりわたす	ɯ̟ᵝ ɾʲ i ɰᵝ a̠ t a̠ s ɨᵝ
うりん	ɯ̟ᵝ ɾʲ ĩ ɴ
うる	ɯ̟ᵝ ɾ ɯ̟ᵝ
うるうどし	ɯ̟ᵝ ɾ ɯ̟ᵝː d o̞ ɕ i
うるうびょう	ɯ̟ᵝ ɾ ɯ̟ᵝː bʲ o̞ː
うるおい	ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ i
うるおう	ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ː
うるおす	ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ s ɨᵝ
うるおぼえ	ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ b o̞ e̞
ウルグアイ	ɯ̟ᵝ ɾ ɯ̟ᵝ ɡ ɯ̟ᵝ a̠ i
うるさい	ɯ̟ᵝ ɾ ɯ̟ᵝ s a̠ i
ウルサン	ɯ̟ᵝ ɾ ɯ̟ᵝ s ã̠ ɴ
うるし	ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i
うるしはら	ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i h a̠ ɾ a̠
うるち	ɯ̟ᵝ ɾ ɯ̟ᵝ t͡ɕ i
ウルトラシー	ɯ̟ᵝ ɾ ɯ̟ᵝ t o̞ ɾ a̠ ɕ iː
ウルフ	ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ウルフカット	ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ k a̠ t̚ t o̞
うるむ	ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ
ウルムチ	ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ t͡ɕ i
ウルレア	ɯ̟ᵝ ɾ ɯ̟ᵝ ɾ e̞ a̠
うるわしい	ɯ̟ᵝ ɾ ɯ̟ᵝ ɰᵝ a̠ ɕ iː
すえ	s ɨᵝ e̞
うれい	ɯ̟ᵝ ɾ e̞ i
うれえる	ɯ̟ᵝ ɾ e̞ e̞ ɾ ɯ̟ᵝ
うれしい	ɯ̟ᵝ ɾ e̞ ɕ iː
うれしい	ɯ̟ᵝ ɾ e̞ ɕ iː
うれしなき	ɯ̟ᵝ ɾ e̞ ɕ i n a̠ kʲ i
うれしなみだ	ɯ̟ᵝ ɾ e̞ ɕ i n a̠ mʲ i d a̠
うれせん	ɯ̟ᵝ ɾ e̞ s ẽ̞ ɴ
うれっこ	ɯ̟ᵝ ɾ e̞ k̚ k o̞
うれのこり	ɯ̟ᵝ ɾ e̞ n o̞ k o̞ ɾʲ i
うれぴい	ɯ̟ᵝ ɾ e̞ pʲ iː
うれる	ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
うろ	ɯ̟ᵝ ɾ o̞
うろ	ɯ̟ᵝ ɾ o̞
うろうろ	ɯ̟ᵝ ɾ o̞ ɯ̟ᵝ ɾ o̞
うろおぼえ	ɯ̟ᵝ ɾ o̞ː b o̞ e̞
うろおぼえ	ɯ̟ᵝ ɾ o̞ː b o̞ e̞
うろたえる	ɯ̟ᵝ ɾ o̞ t a̠ e̞ ɾ ɯ̟ᵝ
うろつく	ɯ̟ᵝ ɾ o̞ t͡s ɨ̥ᵝ k ɯ̟ᵝ
うろん	ɯ̟ᵝ ɾ õ̞ ɴ
うわがき	ɯ̟ᵝ ɰᵝ a̠ ɡ a̠ kʲ i
うわき	ɯ̟ᵝ ɰᵝ a̠ kʲ i
うわごと	ɯ̟ᵝ ɰᵝ a̠ ɡ o̞ t o̞
うわさ	ɯ̟ᵝ ɰᵝ a̠ s a̠
うわさばなし	ɯ̟ᵝ ɰᵝ a̠ s a̠ b a̠ n a̠ ɕ i
うわつく	ɯ̟ᵝ ɰᵝ a̠ t͡s ɨᵝ k ɯ̟ᵝ
うわづつみ	ɯ̟ᵝ ɰᵝ a̠ z ɨᵝ t͡s ɨᵝ mʲ i
うわづみ	ɯ̟ᵝ ɰᵝ a̠ z ɨᵝ mʲ i
